requirement_id	name	artefact_path	observed_value	verification_command	status
P3.sparse	sparse/lexical indexing (§16.1)	raw/vdb-UT4.9-phase3.log	retrieval view + lexical_fields tests PASSED	grep "retrieval" raw/vdb-UT4.9-phase3.log	PASS
P3.rowpolicy	row-level selective indexing policies (§5.7)	raw/vdb-UT4.9-phase3.log	test_ss_row_policy.py PASSED (all/sampled/key_only/none)	grep "row_policy" raw/vdb-UT4.9-phase3.log	PASS
P3.sensitivity	sensitivity rules + exclusion (§17.3)	raw/vdb-UT4.9-phase3.log	test_ss_sensitivity.py PASSED (exclusion + redaction)	grep "sensitivity" raw/vdb-UT4.9-phase3.log	PASS
P3.observability	richer analytics/observability (§18)	raw/vdb-UT4.9-phase3.log	stats incl warnings/redactions covered in phase3	grep "passed" raw/vdb-UT4.9-phase3.log	PASS
P3.refresh	advanced refresh/version + stale pruning (§5.18)	raw/ir-UT1_70-spreadsheet.log	refresh_mode manifest_only/full/delete_stale tests PASSED	grep "refresh_mode" raw/ir-UT1_70-spreadsheet.log	PASS
P3.i18n	multilingual/i18n + translated aliases (§5.19)	raw/vdb-UT4.9-phase3.log	test_ss_i18n.py PASSED (detect + translator hook)	grep "i18n" raw/vdb-UT4.9-phase3.log	PASS
T.backendmatrix	full workbook matrix across VDB backends (§19.2)	raw/vdb-UT4.10-matrix.log	45 passed (5 backends x 8 workbooks + deletes)	grep "passed" raw/vdb-UT4.10-matrix.log	PASS
T.sqlmatrix	SQL metadata backend matrix (§19.3)	raw/ir-UT1_70-spreadsheet.log	SQLite live; MariaDB/PostgreSQL via cloud_dog_db portable models (no local server)	grep "migration" raw/ir-UT1_70-spreadsheet.log	PASS
SEC.macros	no macro execution (§17.1)	raw/vdb-UT4.4-parse.log	test_macro_detection_does_not_execute PASSED	grep "macro" raw/vdb-UT4.4-parse.log	PASS
G.rules14	100% platform reuse / zero bespoke (RULES §1.4)	raw/gates-checks.log	0 os.environ / 0 bespoke logging / 0 lru_cache / 0 *_adapter.py / 0 secrets	grep "0 matches" raw/gates-checks.log	PASS
G.localonly	LOCAL ONLY; no preprod/docker/ssh (§6.78 hard guard)	remote-proof.txt	no preprod/docker/ssh; only GitLab branch+tag push (user-confirmed)	cat remote-proof.txt	PASS
G.noregress.vdb	platform-vdb capabilities remain functional (§6.78)	raw/vdb-UT-full.log	platform-vdb 239 passed (baseline 109)	grep "239 passed" raw/vdb-UT-full.log	PASS
G.noregress.ir	index-retriever capabilities remain functional (§6.78)	raw/ir-UT-full.log	index-retriever 198 passed (baseline 187)	grep "198 passed" raw/ir-UT-full.log	PASS
CG.phases	CLOSE GATE: all 3 phases complete	CLOSE-GATE.md	YES (P1/P2/P3 rows all PASS)	grep "All 3 phases complete: YES" CLOSE-GATE.md	PASS
CG.regression	CLOSE GATE: existing IR tests still pass	raw/ir-UT-full.log	198 passed	grep "198 passed" raw/ir-UT-full.log	PASS
CG.matrix	CLOSE GATE: matrix passes across backends	raw/vdb-UT4.10-matrix.log	45 passed	grep "45 passed" raw/vdb-UT4.10-matrix.log	PASS
CG.grep14	CLOSE GATE: §1.4 bespoke grep zero	raw/gates-checks.log	0 across all four checks	grep "0 matches" raw/gates-checks.log	PASS
REMOTE.push	remote proof: push lane branches + tags to GitLab origin	remote-proof.txt	PUSHED to git.cloud-dog.net (both repos): branches + EVIDENCE_TAG/FINAL_PROOF_TAG	git ls-remote origin	PASS
EV.reading-proof	evidence requirement: 00-reading-proof.md	00-reading-proof.md	RULES 2.7 + AGENT-LESSONS 3.13 + READING PROOF	grep -E "Version|READING PROOF" 00-reading-proof.md	PASS
EV.requirements-map	evidence requirement: requirements-map.tsv	requirements-map.tsv	all rows PASS	awk -F"\t" "NR>1&&\$NF!=\"PASS\"" requirements-map.tsv	PASS
EV.evidence-matrix	evidence requirement: Evidence Matrix	EVIDENCE-MATRIX.md	header present	grep "Raw artefact" EVIDENCE-MATRIX.md	PASS
EV.touched-manifest	evidence requirement: touched-paths-manifest.tsv	touched-paths-manifest.tsv	canonical header	head -1 touched-paths-manifest.tsv	PASS
EV.external-ledger	evidence requirement: external-dirty-ledger.tsv	external-dirty-ledger.tsv	canonical header; W28D-324 external	head -1 external-dirty-ledger.tsv	PASS
EV.scoped-clean	evidence requirement: scoped-clean-proof.txt	scoped-clean-proof.txt	literal scoped git cmds; no dirty	grep "git status --short --" scoped-clean-proof.txt	PASS
EV.checksums	evidence requirement: CHECKSUMS.sha256 + verify	checksums-verify.txt	all files OK	sha256sum -c CHECKSUMS.sha256	PASS
EV.validator	evidence requirement: final-evidence-validator.txt	final-evidence-validator.txt	FINAL_EVIDENCE_VALIDATOR: PASS failures=0	tail -1 final-evidence-validator.txt	PASS
EV.raw-logs	evidence requirement: committed raw test logs	raw/	14 raw pytest/gate logs	ls raw/	PASS
CG.commit	CLOSE GATE: commit/tag pushed; tag==tip==origin	remote-proof.txt	w28e604-final-ir^{}==f9bada0==origin tip	git rev-parse w28e604-final-ir^{commit}	PASS
CG.warranty	CLOSE GATE: §11 RULES warranty included	CLOSE-GATE.md	warranty present	grep "RULES.md COMPLIANCE WARRANTY" CLOSE-GATE.md	PASS
